voter,order,country,title,artist,language,officialpoints,event,score_cat,score
chris,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,song,5
chris,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,song,4
chris,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,song,6
chris,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,song,3
chris,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,song,8
chris,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,song,3
chris,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,song,0
chris,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,song,7
chris,9,United Kingdom,"""Storm""",SuRie,English,48,final,song,3
chris,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,song,3
chris,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,song,5
chris,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,song,6
chris,13,France,"""Mercy""",Madame Monsieur,French,173,final,song,5
chris,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,song,2
chris,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,song,0
chris,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,song,3
chris,17,Finland,"""Monsters""",Saara Aalto,English,46,final,song,7
chris,18,Bulgaria,"""Bones""",Equinox,English,166,final,song,8
chris,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,song,3
chris,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,song,7
chris,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,song,6
chris,22,Israel,"""Toy""",Netta,English,529,final,song,1
chris,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,song,7
chris,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,song,8
chris,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,song,6
chris,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,song,2
chris,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,performance,6
chris,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,performance,4
chris,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,performance,7
chris,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,performance,7
chris,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,performance,7
chris,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,performance,7
chris,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,performance,3
chris,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,performance,5
chris,9,United Kingdom,"""Storm""",SuRie,English,48,final,performance,6
chris,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,performance,5
chris,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,performance,8
chris,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,performance,6
chris,13,France,"""Mercy""",Madame Monsieur,French,173,final,performance,4
chris,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,performance,9
chris,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,performance,1
chris,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,performance,5
chris,17,Finland,"""Monsters""",Saara Aalto,English,46,final,performance,8
chris,18,Bulgaria,"""Bones""",Equinox,English,166,final,performance,5
chris,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,performance,4
chris,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,performance,2
chris,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,performance,7
chris,22,Israel,"""Toy""",Netta,English,529,final,performance,6
chris,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,performance,4
chris,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,performance,5
chris,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,performance,7
chris,26,Italy,"""Non mi avete fatto niente""",Ermal Meta & Fabrizio Moro,Italian,308,final,performance,7
chris,1,Ukraine,"""Under the Ladder""",Mélovin,English,130,final,staging,9
chris,2,Spain,"""Tu canción""",Amaia & Alfred,Spanish,61,final,staging,4
chris,3,Slovenia,"""Hvala, ne!""",Lea Sirk,Slovene,64,final,staging,7
chris,4,Lithuania,"""When We're Old""",Ieva Zasimauskaitė,English,181,final,staging,2
chris,5,Austria,"""Nobody but You""",Cesár Sampson,English,342,final,staging,5
chris,6,Estonia,"""La forza""",Elina Nechayeva,Italian,245,final,staging,6
chris,7,Norway,"""That's How You Write a Song""",Alexander Rybak,English,144,final,staging,2
chris,8,Portugal,"""O jardim""",Cláudia Pascoal,Portuguese,39,final,staging,3
chris,9,United Kingdom,"""Storm""",SuRie,English,48,final,staging,2
chris,10,Serbia,"""Nova deca"" (Нова деца)",Sanja Ilić & Balkanika,Serbian,113,final,staging,6
chris,11,Germany,"""You Let Me Walk Alone""",Michael Schulte,English,340,final,staging,6
chris,12,Albania,"""Mall""",Eugent Bushpepa,Albanian,184,final,staging,4
chris,13,France,"""Mercy""",Madame Monsieur,French,173,final,staging,3
chris,14,Czech Republic,"""Lie to Me""",Mikolas Josef,English,281,final,staging,8
chris,15,Denmark,"""Higher Ground""",Rasmussen,English,226,final,staging,0
chris,16,Australia,"""We Got Love""",Jessica Mauboy,English,99,final,staging,1
chris,17,Finland,"""Monsters""",Saara Aalto,English,46,final,staging,8
chris,18,Bulgaria,"""Bones""",Equinox,English,166,final,staging,6
chris,19,Moldova,"""My Lucky Day""",DoReDoS,English,209,final,staging,1
chris,20,Sweden,"""Dance You Off""",Benjamin Ingrosso,English,274,final,staging,3
chris,21,Hungary,"""Viszlát nyár""",AWS,Hungarian,93,final,staging,3
chris,22,Israel,"""Toy""",Netta,English,529,final,staging,10
chris,23,Netherlands,"""Outlaw in 'Em""",Waylon,English,121,final,staging,2
chris,24,Ireland,"""Together""",Ryan O'Shaughnessy,English,136,final,staging,4
chris,25,Cyprus,"""Fuego""",Eleni Foureira,English,436,final,staging,5
